category,label,tp,fp,fn,precision,recall,f1
retrieval,graph,3217,587,37,0.8457,0.9886,0.9116
retrieval,grep_name,3254,10590,0,0.235,1.0,0.3806
retrieval,grep_call,3254,5637,0,0.366,1.0,0.5359
